診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,備註
P7711C,1200,20230601,29101231,,子宮頸癌診斷品質管理費-切片確診,一、醫事服務機構須對個案提供符合本計畫服務內容後，始得申報本標準診療項目。二、每一個案須有「追蹤管理費」及「診斷品質管理費」二項申報編號者，方得分別支付「追蹤管理費」及「診斷品質管理費」。三、每一個案同一癌別週期，不得重複申報本標準。四、執行期限內首筆篩檢為疑似異常個案並完成確診報告上傳者。五、由接受原篩檢醫事服務機構轉診之確診醫事服務機構申報。
P7712C,1700,20230601,29101231,,乳癌診斷品質管理費-確診及複診後確診,一、醫事服務機構須對個案提供符合本計畫服務內容後，始得申報本標準診療項目。二、每一個案須有「追蹤管理費」及「診斷品質管理費」二項申報編號者，方得分別支付「追蹤管理費」及「診斷品質管理費」。三、每一個案同一癌別週期，不得重複申報本標準。四、執行期限內完成複診或確診報告上傳者。。五、由接受原篩檢醫事服務機構轉診之確診醫事服務機構申報。
P7713C,1200,20230601,29101231,,乳癌診斷品質管理費-複診後為Category1、2、3予以結案,一、醫事服務機構須對個案提供符合本計畫服務內容後，始得申報本標準診療項目。二、每一個案須有「追蹤管理費」及「診斷品質管理費」二項申報編號者，方得分別支付「追蹤管理費」及「診斷品質管理費」。三、每一個案同一癌別週期，不得重複申報本標準。四、執行期限內完成複診或確診報告上傳者。。五、由接受原篩檢醫事服務機構轉診之確診醫事服務機構申報。
P7714B,1700,20230601,29101231,,肺癌診斷品質管理費-確診或檢查追蹤後確診,一、醫事服務機構須對個案提供符合本計畫服務內容後，始得申報本標準診療項目。二、每一個案須有「追蹤管理費」及「診斷品質管理費」二項申報編號者，方得分別支付「追蹤管理費」及「診斷品質管理費」。三、每一個案同一癌別週期，不得重複申報本標準。四、執行期限內完成檢查追蹤或確診檢查報告上傳者。五、由接受原篩檢醫事服務機構轉診之確診醫事服務機構申報。
P7715B,1200,20230601,29101231,,肺癌診斷品質管理費-完成第1次檢查追蹤予以結案,一、醫事服務機構須對個案提供符合本計畫服務內容後，始得申報本標準診療項目。二、每一個案須有「追蹤管理費」及「診斷品質管理費」二項申報編號者，方得分別支付「追蹤管理費」及「診斷品質管理費」。三、每一個案同一癌別週期，不得重複申報本標準。四、執行期限內完成檢查追蹤或確診檢查報告上傳者。五、由接受原篩檢醫事服務機構轉診之確診醫事服務機構申報。
P7801C,500,20230601,29101231,,開立潛伏結核感染治療費,1.須於結核病追蹤管理系統進行潛伏結核感染治療建檔開案，且登錄治療前胸部X光檢查資料，經疾管署確認開始服藥後，方可申報本項費用。登錄資料如下：(1)個案身分證號。(2)診療醫師姓名。(3)照護院所名稱。(4)醫療院所個案管理人員。(5)治療前胸部X光評估。(6)潛伏結核感染治療起始日期及處方種類。(7)性別、體重等其他個案資料。2.須運用結核病追蹤管理系統確認欲治療個案確實符合疾管署潛伏結核感染檢驗及治療收案對象。
P7802C,600,20230601,29101231,,第一階段潛伏結核感染治療管理照護費(達1/3療程),1.照護個案達1/3療程後，且於結核病追蹤管理系統登錄階段鑑評資料，方可申報本項費用。2.前述登錄資料如下:(1)如轉換處方，則須登錄治療處方轉換紀錄。(2)歷次回診之領藥紀錄。(3)歷次回診之臨床血液生化檢驗資料。(4)副作用評估資料。(5)管理照護達1/3療程之階段鑑評(含該階段個案管理師及照護院所資料)。(6)如中斷治療，則須登錄。
P7803C,600,20230601,29101231,,第二階段潛伏結核感染治療管理照護費(達2/3療程),1.照護個案達2/3療程後，且於結核病追蹤管理系統登錄階段鑑評資料，方可申報本項費用。2.前述登錄資料，同P7802C「第一階段潛伏結核感染治療管理照護費」。
P7804C,1500,20230601,29101231,,第三階段潛伏結核感染治療管理照護費暨完成治療費(完成完整療程),1.院所完成治療後，且於結核病追蹤管理系統登錄完成治療，並經疾管署確認，方可申報本項費用。2.前述登錄資料，同P7802C「第一階段潛伏結核感染治療管理照護費」，且須登錄完成治療。
P7901C,2000,20230601,29101231,,愛滋感染個案發現確診費,1.執行院所提供愛滋檢驗服務，經初步檢驗陽性並經確認檢驗陽性及完成通報流程者，方得申報。2.每位愛滋通報確診個案限申報一次。
P7902C,1000,20230601,29101231,,新收案個案管理照護費,1.須為衛福部公告之人類免疫缺乏病毒指定醫事機構始得申報。2.輔導愛滋通報確診個案定期回診並遵醫囑服用抗愛滋病毒藥物，適用條件如下：(1)新服藥感染者：第一次接受治療及服藥之感染者。(2)重新服藥感染者：通報後曾有領藥紀錄，但本次領藥日回溯前一年(五十二週)未有領藥紀錄之中斷服藥之感染者。3.從第一次領藥日開始每月申報一次，至多申報三次。4.須於病歷記載相關照護紀錄。
P7903C,350,20230601,29101231,,追蹤個案管理照護費,1.須為衛福部公告之人類免疫缺乏病毒指定醫事機構始得申報。2.支付條件:愛滋感染個案開始領藥日起算十二週(即三次)後，執行院所應持續輔導其定期回診及服藥，每個月均有領藥紀錄者(含慢性病連續處方箋)，且每次間隔四週以上或按照慢性病連續處方箋規定完成領取藥物者。3.每次申報間隔十二週(三個月)以上。4.須於病歷記載相關照護紀錄。
P7904C,900,20230601,29101231,,個案治療監測評估費,1.須為衛福部公告之人類免疫缺乏病毒指定醫事機構始得申報。2.前述院所須提供愛滋感染個案醫療照護服務，並依「愛滋病檢驗及治療指引」建議時程進行相關檢驗(含CD4細胞數及病毒量檢驗值)。即一年至少檢驗(CD4細胞數及病毒量)二次以上，且須透過健保資訊網服務系統(VPN)，於收到檢驗報告一週內完成上傳。上傳格式詳附表。3.須於病歷記載相關照護紀錄。
P8001C,2500,20230601,29101231,,照護機構結核菌快速分子檢測費,1.對於胸部X光異常或經症狀評估為疑似結核病者，進行結核菌快速分子檢測。2.本支付點數包含檢體採集、痰管及檢驗試劑、保存、運送、檢驗及報告上傳等作業。3.同一個案每三個月限申報一次，且不得重複申報12182C、12184C。
P8002C,100,20230601,29101231,,照護機構潛伏結核感染檢驗評估費,1.用於確認是否符合接受潛伏結核感染檢驗資格及提供民眾衛教與評估。2.每人限申報一次，且不得重複申報E4003C。
P8003C,3500,20230601,29101231,,照護機構潛伏結核感染檢驗費,1.本支付點數包含檢體採集、採血管及檢驗試劑、保存、運送、檢驗及報告上傳等作業。2.每人限申報一次，且不得重複申報E4004C。3.另檢驗結果若為不確定(nil>8)，得以疾管署公費試劑再次檢驗，並申報E4004C。
P8004C,100,20230601,29101231,,照護機構潛伏結核感染治療評估費,1.用於確認是否符合接受潛伏結核感染治療資格及提供民眾衛教與評估。2.每人限申報一次，且不得重複申報E4005C。
P8101C,600,20230704,29101231,,"執行末期腎臟病治療方式醫病共享決策（SDM）-慢性腎臟病(Chronic Kidney Disease, CKD) Stage 5之病人（每次）",1.P8101C限每半年申報一次，惟如屬「全民健康保險末期腎臟病前期(Pre-ESRD)之病人照護與衛教計畫」(以下稱Pre-ESRD計畫)之照護對象，當年度已申報「P3405C結案資料處理費」者，自申報該醫令之日起，半年內不得再申報P8101C。2.血液透析治療二年內之病人係指保險對象「當次就醫年－第1次申報門診透析案件（案件分類為05）之費用年」≦2者。3.P8102C限每年申報一次。4.SDM及說明內容如附件5「末期腎衰竭治療模式衛教表」。
P8102C,600,20230704,29101231,,執行末期腎臟病治療方式醫病共享決策（SDM）-血液透析治療二年內之病人（每次）,1.P8101C限每半年申報一次，惟如屬「全民健康保險末期腎臟病前期(Pre-ESRD)之病人照護與衛教計畫」(以下稱Pre-ESRD計畫)之照護對象，當年度已申報「P3405C結案資料處理費」者，自申報該醫令之日起，半年內不得再申報P8101C。2.血液透析治療二年內之病人係指保險對象「當次就醫年－第1次申報門診透析案件（案件分類為05）之費用年」≦2者。3.P8102C限每年申報一次。4.SDM及說明內容如附件5「末期腎衰竭治療模式衛教表」。
P8103A,600,20230704,29101231,,執行末期腎臟病治療方式醫病共享決策（SDM）後，成功轉腹膜透析之加算-CKD Stage 5之病人(限醫學中心或區域醫院申報),1.本項由執行醫病共享決策（SDM），且該病人成功接受腹膜透析治療之院所申報。2.每人限申報一次。
P8104Q,1400,20230704,29101231,,執行末期腎臟病治療方式醫病共享決策（SDM）後，成功轉腹膜透析之加算-CKD Stage 5之病人(限地區醫院或基層院所申報),1.本項由執行醫病共享決策（SDM），且該病人成功接受腹膜透析治療之院所申報。2.每人限申報一次。
P8105A,600,20230704,29101231,,執行末期腎臟病治療方式醫病共享決策（SDM）後，成功轉腹膜透析之加算-血液透析治療二年內之病人(限醫學中心或區域醫院申報),本項由執行醫病共享決策（SDM），且該病人成功接受腹膜透析治療之院所申報。2.每人限申報一次。
P8106Q,1400,20230704,29101231,,執行末期腎臟病治療方式醫病共享決策（SDM）後，成功轉腹膜透析之加算-血液透析治療二年內之病人(限地區醫院或基層院所申報),本項由執行醫病共享決策（SDM），且該病人成功接受腹膜透析治療之院所申報。2.每人限申報一次。
P8107C,1200,20250521,29101231,,腹膜透析病人訪視費(次)-1.實地訪視,1.院所自行或由簽訂共同照護備忘錄之院所(如附件3)，執行腹膜透析病人居家訪視，並由實際訪視院所申報。2.每次訪視須至少間隔90天。如屬視訊訪視須至少間隔180天，並依「通訊診察治療辦法」辦理。3.不得與下列項目，同時申報：(1)醫療服務支付標準第二部第二章第六節「58026C居家訪視-居家透析治療」及第五部第一章居家照護所定「護理訪視費」。(2)全民健康保險居家醫療照護整合計畫(以下稱居整計畫)所定「醫師訪視費用」及「護理人員訪視費用」。(3)當月申報本項目者，不得同月再申報P8117C輔助型腹膜透析治療處置費(每次)。4.訪視個案如同時為居整計畫之收案個案，本計畫參與院所應與該個案之居整計畫照護團隊聯繫，共同提供醫療照護。5.醫事人員完成居家訪視後，須於訪視診療紀錄內，詳實記錄實施日期、時間、診療項目內容及醫事人員簽名或蓋章（附件6）。
P8108C,1200,20250521,29101231,,腹膜透析病人訪視費(次)-2.視訊訪視,1.院所自行或由簽訂共同照護備忘錄之院所(如附件3)，執行腹膜透析病人居家訪視，並由實際訪視院所申報。2.每次訪視須至少間隔90天。如屬視訊訪視須至少間隔180天，並依「通訊診察治療辦法」辦理。3.不得與下列項目，同時申報：(1)醫療服務支付標準第二部第二章第六節「58026C居家訪視-居家透析治療」及第五部第一章居家照護所定「護理訪視費」。(2)全民健康保險居家醫療照護整合計畫(以下稱居整計畫)所定「醫師訪視費用」及「護理人員訪視費用」。(3)當月申報本項目者，不得同月再申報P8117C輔助型腹膜透析治療處置費(每次)。4.訪視個案如同時為居整計畫之收案個案，本計畫參與院所應與該個案之居整計畫照護團隊聯繫，共同提供醫療照護。5.醫事人員完成居家訪視後，須於訪視診療紀錄內，詳實記錄實施日期、時間、診療項目內容及醫事人員簽名或蓋章（附件6）。
P8109B,10000,20250521,29101231,,腹膜透析下轉及回轉獎勵費,1.適用對象：醫院完成導管植入手術後之首次腹膜透析新病人，轉介回原診療特約院所或轉診至特約類別較低層級適當院所繼續腹膜透析照護。2.支付規範：(1)每人限申報一次。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.已申報下列費用者：a.「全民健康保險急診品質提升方案」轉診品質獎勵費用者。b.「全民健康保險急性後期整合照護計畫」轉出醫院轉銜作業獎勵費者。c.「全民健康保險末期腎臟病前期（Pre-ESRD）之病人照護與衛教計畫」之轉診獎勵費。d.醫療服務支付標準第二部第一章第一節「辦理轉診費_回轉及下轉」（編號01034B及01035B），以及第八部第二章「初期慢性腎臟病轉診照護獎勵費」（編號P4303C）。e.「全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫」跨院合作執行費獎勵。
P8110B,5000,20250521,29101231,,腹膜透析平轉獎勵費,1.適用對象：醫院尿毒症病人轉介至其他特約類別同層級醫院完成腹膜透析導管植入手術者。2.支付規範：(1)每人限申報一次。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.已申報下列費用者：a.「全民健康保險急診品質提升方案」轉診品質獎勵費用者。b.「全民健康保險急性後期整合照護計畫」轉出醫院轉銜作業獎勵費者。c.「全民健康保險末期腎臟病前期（Pre-ESRD）之病人照護與衛教計畫」之轉診獎勵費。d.醫療服務支付標準第二部第一章第一節「辦理轉診費_上轉」（編號01036C、01037C）、「辦理轉診費_回轉及下轉」（編號01034B及01035B），以及第八部第二章「初期慢性腎臟病轉診照護獎勵費」（編號P4303C）。e.「全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫」跨院合作執行費獎勵。
P8111Q,10000,20250521,29101231,,腹膜透析上轉獎勵費(限區域醫院或地區醫院或基層院所申報),1.適用對象：醫療機構轉介尿毒症病人至特約類別較高層級醫院完成腹膜透析導管植入手術者。2.執行規範：(1)每人限申報一次。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.已申報下列費用者：a.「全民健康保險急診品質提升方案」轉診品質獎勵費用者。b.「全民健康保險急性後期整合照護計畫」轉出醫院轉銜作業獎勵費者。c.「全民健康保險末期腎臟病前期（Pre-ESRD）之病人照護與衛教計畫」之轉診獎勵費。d.醫療服務支付標準第二部第一章第一節「辦理轉診費_上轉」（編號01036C及01037C），以及第八部第二章「初期慢性腎臟病轉診照護獎勵費」（編號P4303C）。e.「全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫」跨院合作執行費獎勵。
P8112C,887,20260401,29101231,,"加強病人自我照護品質處置費-連續性可攜帶式腹膜透析(Continuous Automated Peritoneal Dialysis, CAPD)",1.至少完成下列任一項，並於病歷中記載處置過程與結果。(1)執行腹膜透析病人之透析技術再訓練。(2)解決腹膜透析病人突發之狀況。(3)處理腹膜透析病人營養問題。2.本項支付點數為醫療服務支付標準(編號58011C、58017C及58028C)加成10%之費用。
P8113C,887,20260401,29101231,,"加強病人自我照護品質處置費-全自動腹膜透析( Automated peritoneal dialysis, APD)",1.至少完成下列任一項，並於病歷中記載處置過程與結果。(1)執行腹膜透析病人之透析技術再訓練。(2)解決腹膜透析病人突發之狀況。(3)處理腹膜透析病人營養問題。2.本項支付點數為醫療服務支付標準(編號58011C、58017C及58028C)加成10%之費用。
P8114C,7,20230704,29101231,,加強病人自我照護品質處置費-全自動腹膜透析機相關費用-每日(APD daily fee),1.至少完成下列任一項，並於病歷中記載處置過程與結果。(1)執行腹膜透析病人之透析技術再訓練。(2)解決腹膜透析病人突發之狀況。(3)處理腹膜透析病人營養問題。2.本項支付點數為醫療服務支付標準(編號58011C、58017C及58028C)加成10%之費用。
P8115C,2499,20250521,29101231,,"全自動腹膜透析機搭配『病人遠距管理』相關費用-每月(Remote Patient Management, RPM)",1.本項支付點數內含腹膜透析雲端資料庫及個案管理介面平台、無線傳輸數據設備、數據加密傳輸等相關費用。2.適用接受全自動腹膜透析治療者。3.醫事人員應將自動腹膜透析機設備之透析連續性治療紀錄記載於病歷並保留照片備查，且機構須每月於VPN系統登載個案每日之脫水數據。4.醫師遠端更改設定內容，應於病歷紀載相關數據。5.病人改變治療模式(如腹膜透析改為血液透析)或停止腹膜透析治療者，則按比率扣除腹膜透析未治療天數費用。6.病人因故住院仍持續接受腹膜透析治療，費用由住院之院所申報。7.申報全自動腹膜透析機搭配『病人遠距管理』相關費用，應確實追蹤病人治療情形，病人由門診轉住院治療，住院醫院應聯繫原腹膜透析診治院所，告知病人住院期間、透析治療方式及儀器使用情形等，並於病歷記載。8.執行本項診療項目應依「通訊診察治療辦法」辦理。
P8116B,2142,20250521,29101231,,連續性可攜帶式腹膜透析導管植入術--未經血液透析治療,1.首次接受透析治療之新病人，未經由血液透析治療，直接啟動腹膜透析治療。2.本項支付點數為醫療服務支付標準編號58012B加成50%之費用。
P8117C,1200,20250521,29101231,,輔助型腹膜透析治療處置費(每次),1.本項僅適用接受輔助型腹膜透析治療的病人。2.適用對象:(1)視力障礙（身心障礙證明輕度以上）。(2)上肢障礙（身心障礙證明輕度以上）。(3)65歲以上。(4)失能（巴氏量表小於60分）。(5)智能障礙（身心障礙證明輕度以上）。(6)失智症（身心障礙證明輕度以上）。(7)植物人。(8)因疾病特性致外出就醫不便：指所患疾病雖不影響運動功能，但外出就醫確有困難者，如遺傳性表皮分解性水皰症（泡泡龍）病人等。3.協助腹膜透析之人員須符合本計畫第陸點所示醫護人員的資格。4.針對接受輔助型腹膜透析治療的病人，院所醫護人員須至居家或機構確認或加強輔助型腹膜透析治療執行者的透析技術。5.醫事人員每次訪視後，須於處置紀錄單內，詳實記錄實施日期、時間、診療項目等內容(附件7)。6.主責院所或共同照護診所皆可申報。7.不得與下列項目，同時申報：(1)醫療服務支付標準第二部第二章第六節「58026C居家訪視-居家透析治療」及第五部第一章居家照護所定「護理訪視費」。(2)全民健康保險居家醫療照護整合計畫(以下稱居整計畫)所定「醫師訪視費用」及「護理人員訪視費用」。(3)當月申報本項目者，不得同月再申報P8107C或P8108C腹膜透析病人訪視費。8.訪視個案如同時為居整計畫之收案個案，本計畫參與院所應與該個案之居整計畫照護團隊聯繫，共同提供醫療照護。9.申請頻次：每位輔助型腹膜透析病人，每月申請次數上限為4次。
P8201B,3000,20240701,29101231,,急重症疾病照護獎勵-主動脈剝離個案管理費,1.限門、急、住診主或次診斷(ICD-10-CM)為I71.00-I71.03且執行68043B「A型急性主動脈剝離術」之病人。2.由負責資源分配及管理調度之醫院申報，同個案每次事件限申報一次。※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8202B,3000,20260101,29101231,,急重症疾病照護獎勵-腦中風個案管理費,1.門、急、住診主或次診斷(ICD-10-CM)為I63.-、I67.0-I67.2、I67.4-I67.7、I67.81、I67.82、I67.841-I67.848、I67.850、I67.858、I67.89、I67.9、P91.821、P91.822、P91.823及P91.829且有執行83106B「急性缺血性腦中風機械取栓術」之病人。2.由負責資源分配及管理調度之醫院申報，同個案每次事件限申報一次。※全民健康保險區域聯防-提升急重症照護品質計畫
P8203B,3000,20240701,29101231,,急重症疾病照護獎勵-二十四小時急性缺血性腦中風整合治療評估費,1.限腦中風病人於發作後二十四小時內到院進行術前評估，且評估結果不符施作靜脈溶栓治療(IVT)或導管取栓治療(EVT)治療資格者。同個案每次事件限申報一次。2.前述評估項目應包含神經影像(CT/MRI)檢查、中風嚴重度(NIHSS)評估、健保雲端與在院病歷整合查詢、不同治療藥物適應症與禁忌症之評估、轉診評估、神經外科介入之可能性討論。並應製作於病歷中，保險人將不定期進行抽查。※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8204B,20000,20240701,29101231,,跨院合作執行費獎勵-轉出醫院主動脈剝離病人於二小時以內轉出獎勵,※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8205B,10000,20240701,29101231,,跨院合作執行費獎勵-轉出醫院主動脈剝離病人超過二小時且四小時以內轉出獎勵,※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8206B,90000,20240701,29101231,,跨院合作執行費獎勵-接受主動脈剝離病人轉入醫院獎勵,※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8207B,50000,20240701,29101231,,自行收治病人獎勵-主動脈剝離(限有執行68043B者申報),※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8208B,20000,20240701,29101231,,跨院合作執行費獎勵-轉出醫院腦中風病人於一小時以內轉出獎勵,※113年全民健康保險主動脈剝離手術及腦中風經動脈取栓術病人跨院合作照護計畫
P8209B,15000,20240701,29101231,,轉出醫院腦中風病人超過一小時且二小時以內轉出獎勵,
P8210B,10000,20240701,29101231,,跨院合作執行費獎勵-轉出醫院腦中風病人於超過二小時且四小時以內轉出獎勵,
P8211B,35000,20260101,29101231,,跨院合作執行費獎勵-接受腦中風病人轉入醫院獎勵,※全民健康保險區域聯防-提升急重症照護品質計畫
P8212B,25000,20260101,29101231,,自行收治病人獎勵-腦中風(限有執行83106B者申報),※全民健康保險區域聯防-提升急重症照護品質計畫
P8301B,1000,20240601,29101231,,高度管制性抗微生物製劑使用暨抗藥性病原感染照護量表評估費,1.適應症：嚴重感染症之住院病人，包含複雜性感染、嚴重敗血症、困難治療照護處置，及免疫不全之病人，並經專任感染症專科醫師評估需使用高度管制性抗微生物製劑。2.須完成「高度管制性抗微生物製劑使用暨抗藥性病原感染照護量表」，並併入病人之病歷紀錄備查。3.前項量表評估時機如下：(1)於使用高度管制性抗微生物製劑前。(2)於使用高度管制性抗微生物製劑期間，每週評估並以每週申報一次為限(滿七天得申報一次)。
P8401C,3734,20251101,29101231,,每日醫療費(天)-肺炎(第一至十天)1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8402C,2800,20251101,29101231,,每日醫療費(天)-肺炎(第一至十天)2.機構,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8403C,4929,20251101,29101231,,每日醫療費(天)-肺炎(第一至十天)-山地離島地區每日醫療費(天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8404C,3697,20251101,29101231,,每日醫療費(天)-肺炎(第一至十天)-山地離島地區每日醫療費(天)-2.機構,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8405C,2800,20251101,29101231,,每日醫療費(天)-肺炎(第十一至十四天)，1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8406C,2733,20251101,29101231,,每日醫療費(天)-尿路感染(第一至七天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8407C,2050,20240701,29101231,,每日醫療費(天)-尿路感染(第一至七天)-2.機構,每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。
P8408C,3608,20251101,29101231,,每日醫療費(天)-尿路感染(第一至七天)-山地離島地區每日醫療費(天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8409C,2706,20251101,29101231,,每日醫療費(天)-尿路感染(第一至七天)-山地離島地區每日醫療費(天)-2.機構,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8410C,2050,20251101,29101231,,每日醫療費(天)-尿路感染(第八至九天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8411C,3105,20251101,29101231,,每日醫療費(天)-軟組織感染(第一至七天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8412C,2329,20251101,29101231,,每日醫療費(天)-軟組織感染(第一至七天)-2.機構,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8413C,4099,20251101,29101231,,每日醫療費(天)-軟組織感染(第一至七天)-山地離島地區每日醫療費(天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8414C,3074,20251101,29101231,,每日醫療費(天)-軟組織感染(第一至七天)-山地離島地區每日醫療費(天)-2.機構,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8415C,2329,20251101,29101231,,每日醫療費(天)-軟組織感染(第八至九天)-1.在宅,1.每日醫療費所訂點數含診察(含會診、通訊診療)、藥物、藥事服務、檢驗(查)、各項治療處置、特殊材料、個案管理、電子資料處理及行政作業成本等。2.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8416C,1755,20251101,29101231,,每日護理費(天)-1.在宅,1.每日護理費所訂點數含護理人員訪視、護理服務、照護處置、電子資料處理及行政作業成本等。2.護理人員於下列期間提供實地訪視者，加成方式如下：(1)例假日(週六之零時起至週日二十四時止、國定假日零時至二十四時)加計百分之二十。(2)因天然災害停止上班期間加計百分之五十。(3)同時符合(1)及(2)所列條件者，則加計百分之五十。3.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
P8417C,1404,20251101,29101231,,每日護理費(天)-2.機構,1.每日護理費所訂點數含護理人員訪視、護理服務、照護處置、電子資料處理及行政作業成本等。2.護理人員於下列期間提供實地訪視者，加成方式如下：(1)例假日(週六之零時起至週日二十四時止、國定假日零時至二十四時)加計百分之二十。(2)因天然災害停止上班期間加計百分之五十。(3)同時符合(1)及(2)所列條件者，則加計百分之五十。3.訪視人員當日僅提供一位機構住民在宅急症照護，且同時段未提供西醫門診巡診服務、居家照護及安寧居家療護等醫療服務時，得以在宅支付點數申報。
